Number,Tree,TreeNo,TreeSpecies,PlotNo,Sesh,Occ,SeshOcc,Occ2,Date,Date2,SeshMonth,SeshMonth2,SpeciesCode,Status,Mark,Sex,AgeSex,AgeSex2,SVL,Mass,Location,Cell,Color,Notes,Perch,TL,Date2,Capture_Int1
33,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,RF2,F,F,F,20,,3SE,C3,,dorsal laterals with clay heels,Leaf litter,,41668,0
34,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,,,J,J,J,,,8SW,C8,,escape,soil,,41668,
35,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,RF23,J,J,J,11,0.05,8NE,C8,,,Leaf litter,,41668,0
36,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,NORHUM,new,LF1,M,M,,36,1.25,6SE,C6,,,Leaf litter,47,41668,
37,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,NORHUM,,,,,,,,5NE,C5,,escape,Leaf litter,nA,41668,
38,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,"LF2,RF4-A",F,F,F,21,0.6,4NE,C4,,heads,soil,,41668,0
39,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,"LF2,LH3",J,J,J,12.5,0.1,10NW,C10,,,Leaf litter,,41668,0
40,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,"LF2,LH4",M,M,M,18,0.5,13SE,C13,,orangish dorsum - banded legs,Leaf litter,,41668,0
41,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,LF12,J,J,J,9,0.05,16NW,C16,,silver backm clay heels,Leaf litter,,41668,0
42,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,new,LF124,M,M,M,20,0.95,15SE,C15,,dorsallateral stripes with clay heels,Leaf litter,,41668,0
43,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,CRABRA,,,AD,AD,,,,19NE,C19,,escape; orange dorsum,Leaf litter,,41668,
44,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,ctenid,,,,,,,,11NW,C11,,,Leaf litter,,41668,
45,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,ctenid,,,,,,,,11NW,C11,,,Leaf litter,,41668,
46,DP3,7,Dipteryx panamensis,3,A,1,A1,1,29-Jan-14,41668,Feb,2,ctenid,,,,,,,,13NE,C13,,,Palm,,41668,
47,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,recap,LF3,J,J,,11,0.15,4SW,C4,,tan,Leaf litter,NA,41669,
48,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,LF4,J,J,,17,0.35,4SW,C4,,brown/black,Leaf litter,NA,41669,
49,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,,,,,,,,4NW,C4,,escape,NA,,41669,
50,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,LF23,J,J,,12,0.25,4NW,C4,,,Leaf litter,NA,41669,
51,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,RF2,J,J,J,13,0.35,4NE,C4,,,Leaf litter,,41669,0
52,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,RF3,F,F,F,24,1.65,4NW,C4,,,Leaf litter,,41669,0
53,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,recap,LF2,J,J,,,,9SW,C9,,,Leaf litter,NA,41669,
54,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,LF24,J,J,,13,0.25,9SE,C9,,,Leaf litter,NA,41669,
55,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,RF4,M,M,JM,16,0.4,14SW,C14,,,Leaf litter,,41669,0
56,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRABRA,new,LF23,F,F,JF,14,0.35,14SW,C14,,,Leaf litter,,41669,0
57,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF2,RF2",J,J,,12,,14NW,C14,,,Leaf litter,NA,41669,
58,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,CRAMEG,new,"LF2,RF3",F,F,,18,0.7,19SW,C19,,,Leaf litter,NA,41669,
59,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,NORLIM,,,,,,,,19SW,C19,,escape,,,41669,
60,DP6,10,Dipteryx panamensis,6,A,2,A2,2,30-Jan-14,41669,Feb,2,NORHUM,,,,,,,,19SW,C19,,escape,NA,,41669,
