Number,Tree,TreeNo,TreeSpecies,PlotNo,Sesh,Occ,SeshOcc,Occ2,Date,Date2,SeshMonth,SeshMonth2,SpeciesCode,Status,Mark,Sex,AgeSex,AgeSex2,SVL,Mass,Location,Cell,Color,Notes,Perch,TL,Date2,Capture_Int1
1125,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,NORLIM,new,LF1,JM,JM,,26,0.25,6SW,C6,,esc,palm,,41705,
1126,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,NORLIM,new,LF2,M,M,,37,1,6NW,C6,banded tail,0.8 m up,stem,,41705,
1127,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,NORLIM,new,LF3,F,F,,40,1.15,20NE,C20,dorsal stripe,,soil,,41705,
1128,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,RHAHAE,new,LF3,,,,40,,19NE,C19,,,soil,,41705,
1129,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,ctenid,,,F,F,,1,,10NW,C10,red wolf,,litter (below),,41705,
1130,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,NORHUM,new,LF2,F,F,,37,1.2,10SW,C10,brown,,trunk,,41705,
1131,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,RHAHAE,new,LF4,,,,33,2.35,5SW,C5,,,leaf litter,,41705,
1132,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,CRABRA,,,J,J,J,,,5SE,C5,brown,esc,leaf litter,,41705,
1133,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,ctenid,,,M,M,,2,,4SW,C4,grey wolf,,leaf litter,,41705,
1134,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,CRABRA,recap,LF4-F,F,F,JF,17,0.45,9NW,C9,brown,,soil,,41705,24
1135,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,CRABRA,new,RF3,F,F,JF,17,0.35,14SW,C14,brown,,soil,,41705,0
1136,DP7,11,Dipteryx panamensis,7,B,1,B1,4,7-Mar-14,41705,Mar,3,CRABRA,recap,LF2,M,M,M,20,0.6,14NE,C14,brown,,leaf litter,,41705,26
1137,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,new,RF4,M,M,M,18,0.45,19NW,C19,Phyllobates morph,,soil,,41706,0
1138,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,,,19NE,C19,,esc,soil,,41706,
1139,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,ctenid,,,F,F,,1,,21SW,C21,red wolf,,leaf litter,,41706,
1140,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,NORHUM,,,AD,AD,,,,16SE,C16,,esc,leaf litter,,41706,
1141,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,,,AD,AD,,,,14NW,C14,brown,esc,litter (below),,41706,
1142,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,SCIELA,,,AD,AD,,,,9SW,C9,white,esc,leaf litter,,41706,
1143,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,recap,LF4-F,F,F,JF,17,0.5,9SW,C9,streaks,,leaf litter,,41706,25
1144,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,NORLIM,new,LF4,F,F,,31.5,0.45,11SE,C11,"banded tail, dorsal spots",,stem,,41706,
1145,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,NORHUM,recap,LF12,J,J,,,,8SE,C8,,,soil,,41706,
1146,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,NORLIM,new,LF5,M,M,,37.5,0.95,7SE,C7,"banded tail, dewlap",,palm,,41706,
1147,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,,,5NW,C5,brown,esc,soil,,41706,
1148,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,,,5NW,C5,brown,esc,soil,,41706,
1149,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,11.5,,5SW,C5,brown,,soil,,41706,
1150,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,new,LF23,M,M,JM,14.5,0.3,4SE,C4,Phyllobates morph,,soil,,41706,0
1151,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,NORHUM,new,LF23,J,J,,16.5,0.1,4NW,C4,,stub tail,soil,,41706,
1152,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,NORHUM,new,LF3,J,J,,18,0.2,1SE,C1,,stub tail,soil,,41706,
1153,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,9,,1NW,C1,brown with clay heels,,soil,,41706,
1154,DP7,11,Dipteryx panamensis,7,B,2,B2,5,8-Mar-14,41706,Mar,3,OOPPUM,recap,LF3,F,F,F,19,0.6,2SE,C2,bluish throat,,leaf litter,,41706,27
1155,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,OOPPUM,new,RF24,F,F,F,20,0.65,17NE,C17,,,litter (below),,41706,0
1156,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,10,0.15,21NE,C21,brown,,leaf litter,,41706,
1157,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,OOPPUM,recap,RF34,F,F,F,20.5,0.75,20SW,C20,,,leaf litter,,41706,1
1158,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,OOPPUM,recap,LF2,F?,F?,F,21,0.7,6SE,C6,,,leaf litter,,41706,27
1159,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,new,RF4,M,M,M,17,0.4,10NE,C10,brown,,leaf litter,,41706,0
1160,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,OOPPUM,recap,RF4,F,F,F,21,0.75,15NW,C15,,,litter/buttress,,41706,25
1161,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,CRABRA,new,RF1,F,F,JF,19.5,0.85,19SW,C19,light brown,,leaf litter,,41706,0
1162,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,OOPPUM,recap,LF34,F,F,F,21.5,0.75,4NW,C4,,,bromeliad (below),,41706,25
1163,CE2,2,Castilla elastica,2,B,2,B2,5,8-Mar-14,41706,Mar,3,ctenid,,,M,M,,2,,4NW,C4,grey wolf,,bromeliad (below),,41706,
1164,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,12.5,,1SE,C1,brown,,leaf litter,,41706,
1165,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,10.5,,1SE,C1,brown,,leaf litter,,41706,
1166,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,PRIRID,new,LF2,,,,21,,1SE,C1,"pink dorsum, brown flanks",,leaf litter,,41706,
1167,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,ctenid,,,F,F,,1,,1NE,C1,red wolf,,leaf litter,,41706,
1168,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,ctenid,,,F,F,,1,,2NW,C2,red wolf,,leaf litter,,41706,
1169,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,ctenid,,,F,F,,1,,2SW,C2,red wolf,,leaf litter,,41706,
1170,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,ctenid,,,F,F,,1,,3NW,C3,red wolf,,leaf litter,,41706,
1171,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRAMEG,,,J,J,,11,,8NW,C8,grey,,soil,,41706,
1172,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,10,,7SW,C7,brown,,leaf litter,,41706,
1173,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,new,LF1,F,F,F,26,,6NE,C6,brown,,litter (below),,41706,0
1174,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,,,9SW,C9,brown,esc,leaf litter,,41706,
1175,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,ctenid,,,F,F,,1,,9NE,C9,red wolf,,leaf litter,,41706,
1176,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,ctenid,,,F,F,,1,,10NE,C10,red wolf,,leaf litter,,41706,
1177,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,NORHUM,new,"LF1,RF1",M,M,,33,,11NE,C11,,,buttress,,41706,
1178,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,NORLIM,,,,,,,,11SE,C11,,esc,buttress,,41706,
1179,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,PRIRID,new,LF3,,,,18,,12NW,C12,red groin,,leaf litter,,41706,
1180,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,new,RF2,F,F,JF,13.5,,12NE,C12,brown,,soil,,41706,0
1181,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,NORHUM,new,LF1,M,M,,29,,13NW,C13,dark brown,small dewlap,leaf litter,,41706,
1182,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,6,,13NW,C13,,esc,soil,,41706,
1183,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,new,RF3,M,M,JM,15,,18NW,C18,brown,,soil,,41706,0
1184,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,NORHUM,new,LF2,F,F,,31,,17NE,C17,brown,,leaf litter,,41706,
1185,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,RHAHAE,new,LF2,,,,35,,19SE,C19,,,soil,,41706,
1186,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,NORHUM,new,LF4,J,J,,16.5,,19NE,C19,,,leaf litter,,41706,
1187,CE4,4,Castilla elastica,4,B,1,B1,4,8-Mar-14,41706,Mar,3,CRAMEG,new,LF3,M,M,,33,,21NE,C21,,,soil,,41706,
1188,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,NORHUM,,,AD,AD,,,,1SE,C1,brown,esc,leaf litter,,41706,
1189,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,OOPPUM,new,RF23,F,F,F,20,0.7,6SW,C6,blue throat,,leaf litter,,41706,0
1190,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,NORHUM,new,"LF5,RF5",M,M,,32,0.75,7NW,C7,dewlap,,log,,41706,
1191,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,new,LF2,F,F,F,23,1.1,6SE,C6,streaked with heels,,soil,,41706,0
1192,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,OOPPUM,new,RF34,J,J,J,15.5,0.3,5NW,C5,,,leaf litter,,41706,0
1193,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,OOPPUM,new,RF24,M,M,M,20,0.85,5NW,C5,black throat,,leaf litter,,41706,0
1194,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,NORLIM,new,LF2,F,F,,40,1.3,12SE,C12,grey,,leaf litter,,41706,
1195,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,NORLIM,,,M,M,,,,13SW,C13,,esc,leaf litter,,41706,
1196,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,NORLIM,new,LF3,F,F,,39,0.95,13NE,C13,dorsal stripe,,palm,,41706,
1197,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,OOPPUM,recap,LF24,M,M,J,18.5,0.5,17NE,C17,black throat,,leaf litter,,41706,17
1198,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,LEPXAN,,,J,J,,,,20NW,C20,,esc,leaf litter,,41706,
1199,CE5,13,Castilla elastica,5,B,1,B1,4,8-Mar-14,41706,Mar,3,CRABRA,,,J,J,J,6,,20SE,C20,brown,,leaf litter,,41706,
1200,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,OOPPUM,recap,"LF4,RF23",J,J,J,12.5,0.25,15SE,C15,,,leaf litter,,41707,20
1201,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,OOPPUM,recap,RF34,J,J,J,15.5,,5NW,C5,,,leaf litter,,41707,1
1202,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,OOPPUM,recap,RF23,F,F,F,20,,5SE,C5,,,leaf litter,,41707,1
1203,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,OOPPUM,recap,"LF2,RF1",F,F,F,20,0.85,2SE,C2,,,leaf litter,,41707,20
1204,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,UNKFROG,,,AD,AD,,,,6SE,C6,,esc,soil,,41707,
1205,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,OOPPUM,new,"LF2,RF2",J,J,J,15.5,0.35,11SE,C11,,,litter/buttress,,41707,0
1206,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,NORHUM,new,RF1,M,M,,32,0.85,11NE,C11,,0.8 m up,buttress,,41707,
1207,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,OOPPUM,new,"LF2,RF3",F,F,F,19,0.6,20NE,C20,,,leaf litter,,41707,0
1208,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,OOPPUM,recap,LF24,M,M,J,18.5,0.7,17NW,C17,,,leaf litter,,41707,18
1209,CE5,13,Castilla elastica,5,B,2,B2,5,9-Mar-14,41707,Mar,3,NORLIM,,,AD,AD,,,,12SE,C12,,esc,,,41707,
1210,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,new,RF23,M,M,M,17.5,0.55,8SW,C8,brown,,leaf litter,,41707,0
1211,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,,,J,J,J,,,3NE,C3,,,leaf litter,,41707,
1212,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,,,J,J,J,,,3NE,C3,,,leaf litter,,41707,
1213,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRAMEG,,,J,J,,11,0.2,13SE,C13,black,,leaf litter,,41707,
1214,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,new,RF24,F,F,JF,14,0.2,13SW,C13,brown,,soil,,41707,0
1215,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,ctenid,,,F,F,,1,,13NE,C13,red wolf,,soil,,41707,
1216,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,NORHUM,new,LF5,M,M,,35,1.25,18SE,C18,brown,,soil,,41707,
1217,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,new,LF23,M,M,JM,16,0.4,12SE,C12,brown,,leaf litter,,41707,0
1218,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,new,LF34,M,M,M,18.5,0.65,17SW,C17,brown,,leaf litter,,41707,0
1219,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,NORLIM,new,LF1,F,F,,40,1.35,12SE,C12,dorsal stripe,,stem,,41707,
1220,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,NORLIM,new,LF23,M,M,,40,1.05,12SE,C12,"banded tail, dorsal spots",,stem,,41707,
1221,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,ctenid,,,F,F,,,,7SE,C7,red wolf,,leaf litter,,41707,
1222,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,ctenid,,,,,,,,7NW,C7,grey wolf,,leaf litter,,41707,
1223,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,ctenid,,,F,F,,1,,3SW,C3,red wolf,,leaf litter,,41707,
1224,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,PRIRID,new,LF4,F?,F?,,17.5,0.4,2SE,C2,white,,leaf litter,,41707,
1225,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,,,J,J,J,11.5,0.1,2SW,C2,brown,,leaf litter,,41707,
1226,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,NORHUM,new,RF1,J,J,,17,0.1,6NE,C6,,,leaf litter,,41707,
1227,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,ctenid,,,F,F,,2,,6NE,C6,red wolf,,leaf litter,,41707,
1228,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,recap,LF1,F,F,F,26,1.55,6NE,C6,brown,,litter (below),,41707,1
1229,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,NORHUM,new,RF2,M,M,,34,1.2,6SW,C6,,,leaf litter,,41707,
1230,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,ctenid,,,F,F,,1,,11NW,C11,red wolf,,leaf litter,,41707,
1231,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,CRABRA,recap,RF34,M,M,M,19,0.6,16NW,C16,light brown,,leaf litter,,41707,33
1232,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,ctenid,,,F,F,,1,,19SW,C19,red wolf,,soil,,41707,
1233,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,NORHUM,recap,"LF1,RF1",M,M,,33,1.15,15SE,C15,,,stem,,41707,
1234,CE4,4,Castilla elastica,4,B,2,B2,5,9-Mar-14,41707,Mar,3,ctenid,,,F,F,,1,,4NW,C4,red wolf,,leaf litter,,41707,
1235,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,,,J,J,J,5.5,,1NE,C1,brown,,leaf litter,,41769,
1236,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,recap,LF24-M,M,M,JM,15,0.4,1NW,C1,dark brown,,leaf litter,,41769,67
1237,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,,,J,J,J,7,,1SW,C1,brown,,leaf litter,,41769,
1238,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,,,,1,,2NE,C2,"long, thin brown",,leaf litter,,41769,
1239,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,RF13,F,F,JF,18,0.45,8SW,C8,brown,,leaf litter,,41769,0
1240,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,F,F,,2,,8NW,C8,red wolf,,leaf litter,,41769,
1241,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,,,J,J,J,18,,7SW,C7,brown,,leaf litter,,41769,
1242,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,AGACAL,,,AD,AD,,73,,7SW,C7,sleeping coloration,65 cm up,palm,,41769,
1243,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,NORHUM,new,LF13,JM,JM,,17,0.15,7SW,C7,,,leaf litter,,41769,
1244,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,"LF4,RF2",M,M,M,19,0.6,7SW,C7,brown,,leaf litter,,41769,0
1245,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,,,J,J,J,9,0.1,6SE,C6,brown,,leaf litter,,41769,
1246,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,F,F,,2,,5SE,C5,red wolf,,leaf litter,,41769,
1247,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,F,F,,1,,11SW,C11,red wolf,,leaf litter,,41769,
1248,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,F,F,,1,,10NE,C10,red wolf,,leaf litter,,41769,
1249,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,,,J,J,J,8.5,0.2,11NW,C11,brown,,leaf litter,,41769,
1250,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,PRIRID,,,AD,AD,,,,12SW,C12,,esc,leaf litter,,41769,
1251,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,RF14,F,F,F,26,2.55,12SW,C12,streaked,,leaf litter,,41769,0
1252,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,PRIRID,new,LF4,,,,16,0.25,12SW,C12,"clay heels, barred thigh, yellow throat, brown back thigh, orange groin",,leaf litter,,41769,
1253,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,"LF4,RF3",JF,JF,J,13,0.2,12SE,C12,brown,,leaf litter,,41769,0
1254,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,"LF4,RF4",J,J,J,13,0.2,13NE,C13,brown,,leaf litter,,41769,0
1255,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,recap,RF24-F,F,F,JF,18,0.55,18NE,C18,brown,,leaf litter,,41769,66
1256,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,"LF3,RF34",M,M,JM,13.5,0.25,18NW,C18,brown,,leaf litter,,41769,0
1257,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,OOPPUM,new,LF13,F,F,F,20.5,0.85,17NE,C17,,esc,palm (below),,41769,0
1258,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRAMEG,,,,,,,,17SW,C17,brown,,,,41769,
1259,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,recap,RF2-F,F,F,JF,19,0.5,16NW,C16,brown,,leaf litter,,41769,96
1260,CE3,3,Castilla elastica,3,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,"LF4,RF1",F,F,JF,16,0.35,14NE,C14,brown,,leaf litter,,41769,0
1261,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,NORHUM,new,LF35,J,J,,16,,13SE,C13,,,leaf litter,,41769,
1262,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRAMEG,new,LF13,F?,F?,,19,0.6,13NW,C13,black,,leaf litter,,41769,
1263,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,recap,LF34,M,M,M,20,0.7,13NW,C13,dark brown,,leaf litter,,41769,62
1264,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,recap,RF3,M,M,M,19,0.55,12SE,C12,brown,,leaf litter,,41769,63
1265,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,NORHUM,recap,RF1,F,F,,27,0.65,7NE,C7,"brown back with chevons, colored throat, but no dewlap",,leaf litter,,41769,
1266,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,recap,LF1,F,F,F,27,1.75,7SW,C7,brown,,leaf litter,,41769,63
1267,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,"LF1,RF14",F,F,JF,13.5,0.2,6NW,C6,brown,,leaf litter,,41769,0
1268,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,OOPPUM,new,"LF2,RF4",F,F,F,19.5,0.65,11SE,C11,,,buttress/litter,,41769,0
1269,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,F,F,,2,,12SW,C12,red wolf,,leaf litter,,41769,
1270,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,recap,LF23,M,M,M,18,0.6,16SE,C16,dark brown,,leaf litter,,41769,62
1271,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,,,J,J,J,8.5,0.15,20SW,C20,dark brown,,leaf litter,,41769,
1272,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,recap,LF4-A,F,F,JF,19,0.65,19SE,C19,Phyllobates morph with clay heels,,leaf litter,,41769,97
1273,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,,,J,J,J,,,19NW,C19,,esc,leaf litter,,41769,
1274,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,,,,1,,15NE,C15,long thin brown,,leaf litter,,41769,
1275,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,F,F,,2,,15SW,C15,red wolf,,leaf litter,,41769,
1276,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,new,"LF3,RF12",J,J,J,13,,14SE,C14,brown,,leaf litter,,41769,0
1277,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,ctenid,,,,,,2,,11SW,C11,,,,,41769,
1278,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,NORHUM,,,J,J,,,,5NE,C5,,esc,,,41769,
1279,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,CRABRA,,,J,J,J,,,1NE,C1,,esc,,,41769,
1280,CE4,4,Castilla elastica,4,C,1,C1,6,10-May-14,41769,May,5,OOPPUM,new,"LF3,RF34",F,F,F,19.5,,4SW,C4,,,leaf litter,,41769,0
