Sample Number,Locality,Coordinates,Collecting Event Notes,Locality2,County,State,Country,Latitude,Longitude,Date,Tree Number,TreeSpecies,TreeSpecies2,TreeSpecies3,Tree Block,Experiment,Approx. Location,Date Collected,Day,Month,Year,Month2,Month3,Feb,May,Jun,Jul,Aug,Sep,Oct,Nov,Sample Replicate,Grid Cell,Direction,GridCells,Dry Litter Mass (g),Notes,Date Sorted,Sorter,Acari,Parasitiformes,Amblypygy,Amphipoda,Araneae,Blattodea,Chilopoda,Coleoptera,Collembola,Dermaptera,Diplopoda,Diptera,Formicidae,Gastropoda,Hemiptera,Hirudinea,Hymenoptera,Isopoda,Isoptera,Lepidoptera,Mantodea,Onychophora,Opiliones,Orthoptera,Phasmida,Pseudoscorpiones,Ricinulei,Thysanoptera,Worms,Larvae,WormsLarvaeLeeches,Egg,Unknown,Notes
FOLT-005,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-005.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,1,13,2,13,13,NA,6-May-15,BF,10,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,3,3,0,3,
FOLT-005,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-005.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,1,13,2,8,13,NA,6-May-15,BF,10,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,3,3,0,3,
FOLT-006,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-006.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,2,1,1,1,56.6,NA,6-May-15,BF,44,0,0,0,4,1,0,7,47,0,4,0,39,0,0,0,4,2,0,0,0,0,1,0,0,4,0,NA,0,9,9,0,0,
FOLT-006,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-006.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,2,1,1,2,56.6,NA,6-May-15,BF,44,0,0,0,4,1,0,7,47,0,4,0,39,0,0,0,4,2,0,0,0,0,1,0,0,4,0,NA,0,9,9,0,0,
FOLT-006,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-006.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,2,1,1,5,56.6,NA,6-May-15,BF,44,0,0,0,4,1,0,7,47,0,4,0,39,0,0,0,4,2,0,0,0,0,1,0,0,4,0,NA,0,9,9,0,0,
FOLT-006,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-006.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,2,1,1,6,56.6,NA,6-May-15,BF,44,0,0,0,4,1,0,7,47,0,4,0,39,0,0,0,4,2,0,0,0,0,1,0,0,4,0,NA,0,9,9,0,0,
FOLT-007,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-007.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,3,10,1,10,35,NA,7-May-15,BF,66,0,0,0,0,0,0,3,49,0,0,2,14,1,0,0,0,3,4,0,0,0,1,0,0,1,0,NA,0,7,7,0,0,
FOLT-007,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-007.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,3,10,1,15,35,NA,7-May-15,BF,66,0,0,0,0,0,0,3,49,0,0,2,14,1,0,0,0,3,4,0,0,0,1,0,0,1,0,NA,0,7,7,0,0,
FOLT-007,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-007.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,3,10,1,16,35,NA,7-May-15,BF,66,0,0,0,0,0,0,3,49,0,0,2,14,1,0,0,0,3,4,0,0,0,1,0,0,1,0,NA,0,7,7,0,0,
FOLT-008,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica","10.43218, -84.01156",Arthropods from random 30 cm x 30 cm litter sample collected beneath Castilla elastica (control; replicate 1; CE tree 2); see Brian Folt dissertation for details. FOLT-008.,"La Selva Biological Station, 3 km south of Puerto Viejo de Sarapiquí, Heredia Province, Costa Rica; 200 m south from Camino Experimental Sur (CES), 650 m.",,Heredia Province,Costa Rica,10.43218,-84.01156,19-Feb-14,2,Castilla elastica,Castilla (control),Castilla,2,Control,200 m south from CES 650,19-Feb-14,19,February,2014,2,1,1,0,0,0,0,0,0,0,4,19,4,19,40.6,NA,7-May-15,BF,86,0,0,0,2,0,0,4,31,0,1,1,14,0,0,0,0,2,2,0,0,0,1,1,0,0,0,NA,0,6,6,0,2,
